FL,FR,BL,BR,Danger,Front_Avg,Min_Dist,Rel_Speed,Acceleration,TTC_Seconds,Steering_Angle,Status_Label,Safety_Pct,False_Positive_Pct,Steering_Display,Aggression_Score,Threat_Source
310.91,91.18,290.66,288.3,3,201.045,91.18,0,0,999,-45,HARD TURN,60.79,109.29,45° L,0,FR
309.89,80.12,288.56,285.78,3,195.005,80.12,6.04,6.04,32.28559603,-45,HARD TURN,53.41,117.83,45° L,0,FR
309.18,69.11,287.14,283.97,3,189.145,69.11,5.86,-0.18,32.27730375,-45,HARD TURN,46.07,126.92,45° L,0,FR
308.68,58.3,286.1,282.75,3,183.49,58.3,5.655,-0.205,32.44739169,-45,HARD TURN,38.87,136.45,45° L,0,FR
308.33,49.85,285.37,281.91,3,179.09,49.85,4.4,-1.255,40.70227273,-45,HARD TURN,33.23,144.33,45° L,0,FR
308.08,41.58,284.86,281.25,3,174.83,41.58,4.26,-0.14,41.0399061,-45,HARD TURN,27.72,152.43,45° L,0,FR
307.92,32.68,284.5,280.86,3,170.3,32.68,4.53,0.27,37.59381898,-45,COLLISION WARNING,21.79,161.62,45° L,0,FR
307.8,24.75,284.31,280.51,4,166.275,24.75,4.025,-0.505,41.31055901,-45,COLLISION WARNING,16.5,170.23,45° L,0,FR
305.76,19.15,282.48,278.54,4,162.455,19.15,3.82,-0.205,42.52748691,-45,COLLISION WARNING,12.77,176.42,45° L,0,FR
304.4,15.29,281.15,277.26,4,159.845,15.29,2.61,-1.21,61.24329502,-45,COLLISION WARNING,10.19,180.87,45° L,0,FR
303.43,34.11,280.22,276.37,3,168.77,34.11,-8.925,-11.535,999,-45,COLLISION WARNING,22.74,159.58,45° L,11.53,FR
304.67,61.95,281.25,277.41,3,183.31,61.95,-14.54,-5.615,999,-45,HARD TURN,41.3,132.41,45° L,5.61,FR
305.52,81.44,281.98,278.15,3,193.48,81.44,-10.17,4.37,999,-45,HARD TURN,54.29,115.82,45° L,0,FR
306.13,95.13,282.48,278.68,3,200.63,95.13,-7.15,3.02,999,-45,HARD TURN,63.42,105.17,45° L,0,FR
306.54,105.59,282.84,278.94,1,206.065,105.59,-5.435,1.715,999,-45,HARD TURN,70.39,97.52,45° L,0,FR
307.79,115.8,285.04,281.77,1,211.795,115.8,-5.73,-0.295,999,-45,HARD TURN,77.2,90.65,45° L,0,FR
308.66,123.59,286.81,283.75,1,216.125,123.59,-4.33,1.4,999,-45,HARD TURN,82.39,85.63,45° L,0,FR
309.22,128.07,287.88,285.09,1,218.645,128.07,-2.52,1.81,999,-45,HARD TURN,85.38,82.85,45° L,0,FR
309.66,131.26,288.75,286.02,1,220.46,131.26,-1.815,0.705,999,-45,HARD TURN,87.51,80.92,45° L,0,FR
321.67,302.89,298.51,294.69,0,312.28,294.69,-91.82,-90.005,999,-5.65,CRUISING,100,6.01,5.7° L,90,BR
320.23,284.47,296.65,292.8,0,302.35,284.47,9.93,101.75,30.44813696,-9.9025,CRUISING,100,11.83,9.9° L,0,FR
319.22,255.61,295.34,291.4,0,287.415,255.61,14.935,5.005,19.24439237,-16.8875,HARD TURN,100,22.13,16.9° L,0,FR
318.52,227.42,294.42,290.5,0,272.97,227.42,14.445,-0.49,18.89719626,-23.755,HARD TURN,100,33.37,23.8° L,0,FR
295.98,288.17,294.47,290.39,0,292.075,288.17,-19.105,-33.55,999,-2.9725,CRUISING,100,2.67,3° L,33.55,FR
265.35,287.5,293.82,289.78,0,276.425,265.35,15.65,34.755,17.6629393,4.5275,CRUISING,100,8.01,4.5° R,0,FL
238.99,287.03,293.35,289.36,0,263.01,238.99,13.415,-2.235,19.6056653,11.0125,CRUISING,100,18.27,11° R,0,FL
